cod_municipio_ibge,nome,uf,nome_norm
4122172,Rio Branco do Ivaí,PR,rio branco do ivai
4122206,Rio Branco do Sul,PR,rio branco do sul
4122305,Rio Negro,PR,rio negro
4122404,Rolândia,PR,rolandia
4122503,Roncador,PR,roncador
4122602,Rondon,PR,rondon
4122651,Rosário do Ivaí,PR,rosario do ivai
4122701,Sabáudia,PR,sabaudia
4122800,Salgado Filho,PR,salgado filho
4122909,Salto do Itararé,PR,salto do itarare
4123006,Salto do Lontra,PR,salto do lontra
4123105,Santa Amélia,PR,santa amelia
4123204,Santa Cecília do Pavão,PR,santa cecilia do pavao
4123303,Santa Cruz de Monte Castelo,PR,santa cruz de monte castelo
4123402,Santa Fé,PR,santa fe
4123501,Santa Helena,PR,santa helena
4123600,Santa Inês,PR,santa ines
4123709,Santa Isabel do Ivaí,PR,santa isabel do ivai
4123808,Santa Izabel do Oeste,PR,santa izabel do oeste
4123824,Santa Lúcia,PR,santa lucia
4123857,Santa Maria do Oeste,PR,santa maria do oeste
4123907,Santa Mariana,PR,santa mariana
4123956,Santa Mônica,PR,santa monica
4124020,Santa Tereza do Oeste,PR,santa tereza do oeste
4124053,Santa Terezinha de Itaipu,PR,santa terezinha de itaipu
4124004,Santana do Itararé,PR,santana do itarare
4124103,Santo Antônio da Platina,PR,santo antonio da platina
4124202,Santo Antônio do Caiuá,PR,santo antonio do caiua
4124301,Santo Antônio do Paraíso,PR,santo antonio do paraiso
4124400,Santo Antônio do Sudoeste,PR,santo antonio do sudoeste
4124509,Santo Inácio,PR,santo inacio
4124608,São Carlos do Ivaí,PR,sao carlos do ivai
4124707,São Jerônimo da Serra,PR,sao jeronimo da serra
4124806,São João,PR,sao joao
4124905,São João do Caiuá,PR,sao joao do caiua
4125001,São João do Ivaí,PR,sao joao do ivai
4125100,São João do Triunfo,PR,sao joao do triunfo
4125209,São Jorge d'Oeste,PR,sao jorge d'oeste
4125308,São Jorge do Ivaí,PR,sao jorge do ivai
4125357,São Jorge do Patrocínio,PR,sao jorge do patrocinio
4125407,São José da Boa Vista,PR,sao jose da boa vista
4125456,São José das Palmeiras,PR,sao jose das palmeiras
4125506,São José dos Pinhais,PR,sao jose dos pinhais
4125555,São Manoel do Paraná,PR,sao manoel do parana
4125605,São Mateus do Sul,PR,sao mateus do sul
4125704,São Miguel do Iguaçu,PR,sao miguel do iguacu
4125753,São Pedro do Iguaçu,PR,sao pedro do iguacu
4125803,São Pedro do Ivaí,PR,sao pedro do ivai
4125902,São Pedro do Paraná,PR,sao pedro do parana
4126009,São Sebastião da Amoreira,PR,sao sebastiao da amoreira
4126108,São Tomé,PR,sao tome
4126207,Sapopema,PR,sapopema
4126256,Sarandi,PR,sarandi
4126272,Saudade do Iguaçu,PR,saudade do iguacu
4126306,Sengés,PR,senges
4126355,Serranópolis do Iguaçu,PR,serranopolis do iguacu
4126405,Sertaneja,PR,sertaneja
4126504,Sertanópolis,PR,sertanopolis
4126603,Siqueira Campos,PR,siqueira campos
4126652,Sulina,PR,sulina
4126678,Tamarana,PR,tamarana
4126702,Tamboara,PR,tamboara
4126801,Tapejara,PR,tapejara
4126900,Tapira,PR,tapira
4127007,Teixeira Soares,PR,teixeira soares
4127106,Telêmaco Borba,PR,telemaco borba
4127205,Terra Boa,PR,terra boa
4127304,Terra Rica,PR,terra rica
4127403,Terra Roxa,PR,terra roxa
4127502,Tibagi,PR,tibagi
4127601,Tijucas do Sul,PR,tijucas do sul
4127700,Toledo,PR,toledo
4127809,Tomazina,PR,tomazina
4127858,Três Barras do Paraná,PR,tres barras do parana
4127882,Tunas do Paraná,PR,tunas do parana
4127908,Tuneiras do Oeste,PR,tuneiras do oeste
4127957,Tupãssi,PR,tupassi
4127965,Turvo,PR,turvo
4128005,Ubiratã,PR,ubirata
4128104,Umuarama,PR,umuarama
4128203,União da Vitória,PR,uniao da vitoria
4128302,Uniflor,PR,uniflor
4128401,Uraí,PR,urai
4128534,Ventania,PR,ventania
4128559,Vera Cruz do Oeste,PR,vera cruz do oeste
4128609,Verê,PR,vere
4128658,Virmond,PR,virmond
4128708,Vitorino,PR,vitorino
4128500,Wenceslau Braz,PR,wenceslau braz
4128807,Xambrê,PR,xambre
3300100,Angra dos Reis,RJ,angra dos reis
3300159,Aperibé,RJ,aperibe
3300209,Araruama,RJ,araruama
3300225,Areal,RJ,areal
3300233,Armação dos Búzios,RJ,armacao dos buzios
3300258,Arraial do Cabo,RJ,arraial do cabo
3300308,Barra do Piraí,RJ,barra do pirai
3300407,Barra Mansa,RJ,barra mansa
3300456,Belford Roxo,RJ,belford roxo
3300506,Bom Jardim,RJ,bom jardim
3300605,Bom Jesus do Itabapoana,RJ,bom jesus do itabapoana
3300704,Cabo Frio,RJ,cabo frio
3300803,Cachoeiras de Macacu,RJ,cachoeiras de macacu
3300902,Cambuci,RJ,cambuci
3301009,Campos dos Goytacazes,RJ,campos dos goytacazes
3301108,Cantagalo,RJ,cantagalo
3300936,Carapebus,RJ,carapebus
3301157,Cardoso Moreira,RJ,cardoso moreira
3301207,Carmo,RJ,carmo
3301306,Casimiro de Abreu,RJ,casimiro de abreu
3300951,Comendador Levy Gasparian,RJ,comendador levy gasparian
3301405,Conceição de Macabu,RJ,conceicao de macabu
3301504,Cordeiro,RJ,cordeiro
3301603,Duas Barras,RJ,duas barras
3301702,Duque de Caxias,RJ,duque de caxias
3301801,Engenheiro Paulo de Frontin,RJ,engenheiro paulo de frontin
3301850,Guapimirim,RJ,guapimirim
3301876,Iguaba Grande,RJ,iguaba grande
3301900,Itaboraí,RJ,itaborai
3302007,Itaguaí,RJ,itaguai
3302056,Italva,RJ,italva
3302106,Itaocara,RJ,itaocara
3302205,Itaperuna,RJ,itaperuna
3302254,Itatiaia,RJ,itatiaia
3302270,Japeri,RJ,japeri
3302304,Laje do Muriaé,RJ,laje do muriae
3302403,Macaé,RJ,macae
3302452,Macuco,RJ,macuco
3302502,Magé,RJ,mage
3302601,Mangaratiba,RJ,mangaratiba
3302700,Maricá,RJ,marica
3302809,Mendes,RJ,mendes
3302858,Mesquita,RJ,mesquita
3302908,Miguel Pereira,RJ,miguel pereira
3303005,Miracema,RJ,miracema
3303104,Natividade,RJ,natividade
3303203,Nilópolis,RJ,nilopolis
3303302,Niterói,RJ,niteroi
3303401,Nova Friburgo,RJ,nova friburgo
3303500,Nova Iguaçu,RJ,nova iguacu
3303609,Paracambi,RJ,paracambi
3303708,Paraíba do Sul,RJ,paraiba do sul
3303807,Paraty,RJ,paraty
3303856,Paty do Alferes,RJ,paty do alferes
3303906,Petrópolis,RJ,petropolis
3303955,Pinheiral,RJ,pinheiral
3304003,Piraí,RJ,pirai
3304102,Porciúncula,RJ,porciuncula
3304110,Porto Real,RJ,porto real
3304128,Quatis,RJ,quatis
3304144,Queimados,RJ,queimados
3304151,Quissamã,RJ,quissama
3304201,Resende,RJ,resende
3304300,Rio Bonito,RJ,rio bonito
3304409,Rio Claro,RJ,rio claro
3304508,Rio das Flores,RJ,rio das flores
3304524,Rio das Ostras,RJ,rio das ostras
3304557,Rio de Janeiro,RJ,rio de janeiro
3304607,Santa Maria Madalena,RJ,santa maria madalena
3304706,Santo Antônio de Pádua,RJ,santo antonio de padua
3304805,São Fidélis,RJ,sao fidelis
3304755,São Francisco de Itabapoana,RJ,sao francisco de itabapoana
3304904,São Gonçalo,RJ,sao goncalo
3305000,São João da Barra,RJ,sao joao da barra
3305109,São João de Meriti,RJ,sao joao de meriti
3305133,São José de Ubá,RJ,sao jose de uba
3305158,São José do Vale do Rio Preto,RJ,sao jose do vale do rio preto
3305208,São Pedro da Aldeia,RJ,sao pedro da aldeia
3305307,São Sebastião do Alto,RJ,sao sebastiao do alto
3305406,Sapucaia,RJ,sapucaia
3305505,Saquarema,RJ,saquarema
3305554,Seropédica,RJ,seropedica
3305604,Silva Jardim,RJ,silva jardim
3305703,Sumidouro,RJ,sumidouro
3305752,Tanguá,RJ,tangua
3305802,Teresópolis,RJ,teresopolis
3305901,Trajano de Moraes,RJ,trajano de moraes
3306008,Três Rios,RJ,tres rios
3306107,Valença,RJ,valenca
3306156,Varre-Sai,RJ,varre-sai
3306206,Vassouras,RJ,vassouras
3306305,Volta Redonda,RJ,volta redonda
2400109,Acari,RN,acari
2400307,Afonso Bezerra,RN,afonso bezerra
2400406,Água Nova,RN,agua nova
2400505,Alexandria,RN,alexandria
2400604,Almino Afonso,RN,almino afonso
2400703,Alto do Rodrigues,RN,alto do rodrigues
2400802,Angicos,RN,angicos
2400901,Antônio Martins,RN,antonio martins
2401008,Apodi,RN,apodi
2401107,Areia Branca,RN,areia branca
2401206,Arez,RN,arez
2400208,Assú,RN,assu
2401404,Baía Formosa,RN,baia formosa
2401453,Baraúna,RN,barauna
2401503,Barcelona,RN,barcelona
2401602,Bento Fernandes,RN,bento fernandes
2401651,Bodó,RN,bodo
2401701,Bom Jesus,RN,bom jesus
2401800,Brejinho,RN,brejinho
2401859,Caiçara do Norte,RN,caicara do norte
2401909,Caiçara do Rio do Vento,RN,caicara do rio do vento
2402006,Caicó,RN,caico
2401305,Campo Grande,RN,campo grande
2402105,Campo Redondo,RN,campo redondo
2402204,Canguaretama,RN,canguaretama
2402303,Caraúbas,RN,caraubas
2402402,Carnaúba dos Dantas,RN,carnauba dos dantas
2402501,Carnaubais,RN,carnaubais
2402600,Ceará-Mirim,RN,ceara-mirim
2402709,Cerro Corá,RN,cerro cora
2402808,Coronel Ezequiel,RN,coronel ezequiel
2402907,Coronel João Pessoa,RN,coronel joao pessoa
2403004,Cruzeta,RN,cruzeta
2403103,Currais Novos,RN,currais novos
2403202,Doutor Severiano,RN,doutor severiano
2403301,Encanto,RN,encanto
2403400,Equador,RN,equador
2403509,Espírito Santo,RN,espirito santo
2403608,Extremoz,RN,extremoz
2403707,Felipe Guerra,RN,felipe guerra
2403756,Fernando Pedroza,RN,fernando pedroza
2403806,Florânia,RN,florania
2403905,Francisco Dantas,RN,francisco dantas
2404002,Frutuoso Gomes,RN,frutuoso gomes
2404101,Galinhos,RN,galinhos
2404200,Goianinha,RN,goianinha
2404309,Governador Dix-Sept Rosado,RN,governador dix-sept rosado
2404408,Grossos,RN,grossos
2404507,Guamaré,RN,guamare
2404606,Ielmo Marinho,RN,ielmo marinho
2404705,Ipanguaçu,RN,ipanguacu
2404804,Ipueira,RN,ipueira
2404853,Itajá,RN,itaja
2404903,Itaú,RN,itau
2405009,Jaçanã,RN,jacana
2405108,Jandaíra,RN,jandaira
2405207,Janduís,RN,janduis
2405306,Januário Cicco,RN,januario cicco
2405405,Japi,RN,japi
2405504,Jardim de Angicos,RN,jardim de angicos
2405603,Jardim de Piranhas,RN,jardim de piranhas
2405702,Jardim do Seridó,RN,jardim do serido
2405801,João Câmara,RN,joao camara
2405900,João Dias,RN,joao dias
2406007,José da Penha,RN,jose da penha
2406106,Jucurutu,RN,jucurutu
2406155,Jundiá,RN,jundia
2406205,Lagoa d'Anta,RN,lagoa d'anta
2406304,Lagoa de Pedras,RN,lagoa de pedras
2406403,Lagoa de Velhos,RN,lagoa de velhos
2406502,Lagoa Nova,RN,lagoa nova
2406601,Lagoa Salgada,RN,lagoa salgada
2406700,Lajes,RN,lajes
2406809,Lajes Pintadas,RN,lajes pintadas
2406908,Lucrécia,RN,lucrecia
2407005,Luís Gomes,RN,luis gomes
2407104,Macaíba,RN,macaiba
2407203,Macau,RN,macau
2407252,Major Sales,RN,major sales
2407302,Marcelino Vieira,RN,marcelino vieira
2407401,Martins,RN,martins
2407500,Maxaranguape,RN,maxaranguape
2407609,Messias Targino,RN,messias targino
2407708,Montanhas,RN,montanhas
2407807,Monte Alegre,RN,monte alegre
2407906,Monte das Gameleiras,RN,monte das gameleiras
2408003,Mossoró,RN,mossoro
2408102,Natal,RN,natal
2408201,Nísia Floresta,RN,nisia floresta
2408300,Nova Cruz,RN,nova cruz
2408409,Olho d'Água do Borges,RN,olho d'agua do borges
2408508,Ouro Branco,RN,ouro branco
2408607,Paraná,RN,parana
2408706,Paraú,RN,parau
2408805,Parazinho,RN,parazinho
2408904,Parelhas,RN,parelhas
2403251,Parnamirim,RN,parnamirim
2409100,Passa e Fica,RN,passa e fica
2409209,Passagem,RN,passagem
2409308,Patu,RN,patu
2409407,Pau dos Ferros,RN,pau dos ferros
2409506,Pedra Grande,RN,pedra grande
2409605,Pedra Preta,RN,pedra preta
2409704,Pedro Avelino,RN,pedro avelino
2409803,Pedro Velho,RN,pedro velho
2409902,Pendências,RN,pendencias
2410009,Pilões,RN,piloes
2410108,Poço Branco,RN,poco branco
2410207,Portalegre,RN,portalegre
2410256,Porto do Mangue,RN,porto do mangue
2410405,Pureza,RN,pureza
2410504,Rafael Fernandes,RN,rafael fernandes
2410603,Rafael Godeiro,RN,rafael godeiro
2410702,Riacho da Cruz,RN,riacho da cruz
2410801,Riacho de Santana,RN,riacho de santana
2410900,Riachuelo,RN,riachuelo
2408953,Rio do Fogo,RN,rio do fogo
2411007,Rodolfo Fernandes,RN,rodolfo fernandes
2411106,Ruy Barbosa,RN,ruy barbosa
2411205,Santa Cruz,RN,santa cruz
2409332,Santa Maria,RN,santa maria
2411403,Santana do Matos,RN,santana do matos
2411429,Santana do Seridó,RN,santana do serido
2411502,Santo Antônio,RN,santo antonio
2411601,São Bento do Norte,RN,sao bento do norte
2411700,São Bento do Trairí,RN,sao bento do trairi
2411809,São Fernando,RN,sao fernando
2411908,São Francisco do Oeste,RN,sao francisco do oeste
2412005,São Gonçalo do Amarante,RN,sao goncalo do amarante
2412104,São João do Sabugi,RN,sao joao do sabugi
2412203,São José de Mipibu,RN,sao jose de mipibu
2412302,São José do Campestre,RN,sao jose do campestre
2412401,São José do Seridó,RN,sao jose do serido
2412500,São Miguel,RN,sao miguel
2412559,São Miguel do Gostoso,RN,sao miguel do gostoso
2412609,São Paulo do Potengi,RN,sao paulo do potengi
2412708,São Pedro,RN,sao pedro
2412807,São Rafael,RN,sao rafael
2412906,São Tomé,RN,sao tome
2413003,São Vicente,RN,sao vicente
2413102,Senador Elói de Souza,RN,senador eloi de souza
2413201,Senador Georgino Avelino,RN,senador georgino avelino
2410306,Serra Caiada,RN,serra caiada
2413300,Serra de São Bento,RN,serra de sao bento
2413359,Serra do Mel,RN,serra do mel
2413409,Serra Negra do Norte,RN,serra negra do norte
2413508,Serrinha,RN,serrinha
2413557,Serrinha dos Pintos,RN,serrinha dos pintos
2413607,Severiano Melo,RN,severiano melo
2413706,Sítio Novo,RN,sitio novo
2413805,Taboleiro Grande,RN,taboleiro grande
2413904,Taipu,RN,taipu
2414001,Tangará,RN,tangara
2414100,Tenente Ananias,RN,tenente ananias
2414159,Tenente Laurentino Cruz,RN,tenente laurentino cruz
2411056,Tibau,RN,tibau
2414209,Tibau do Sul,RN,tibau do sul
2414308,Timbaúba dos Batistas,RN,timbauba dos batistas
2414407,Touros,RN,touros
2414456,Triunfo Potiguar,RN,triunfo potiguar
2414506,Umarizal,RN,umarizal
2414605,Upanema,RN,upanema
2414704,Várzea,RN,varzea
2414753,Venha-Ver,RN,venha-ver
2414803,Vera Cruz,RN,vera cruz
2414902,Viçosa,RN,vicosa
2415008,Vila Flor,RN,vila flor
1100015,Alta Floresta D'Oeste,RO,alta floresta d'oeste
1100379,Alto Alegre dos Parecis,RO,alto alegre dos parecis
1100403,Alto Paraíso,RO,alto paraiso
1100346,Alvorada D'Oeste,RO,alvorada d'oeste
1100023,Ariquemes,RO,ariquemes
1100452,Buritis,RO,buritis
1100031,Cabixi,RO,cabixi
1100601,Cacaulândia,RO,cacaulandia
1100049,Cacoal,RO,cacoal
1100700,Campo Novo de Rondônia,RO,campo novo de rondonia
1100809,Candeias do Jamari,RO,candeias do jamari
1100908,Castanheiras,RO,castanheiras
1100056,Cerejeiras,RO,cerejeiras
1100924,Chupinguaia,RO,chupinguaia
1100064,Colorado do Oeste,RO,colorado do oeste
1100072,Corumbiara,RO,corumbiara
1100080,Costa Marques,RO,costa marques
1100940,Cujubim,RO,cujubim
1100098,Espigão D'Oeste,RO,espigao d'oeste
1101005,Governador Jorge Teixeira,RO,governador jorge teixeira
1100106,Guajará-Mirim,RO,guajara-mirim
1101104,Itapuã do Oeste,RO,itapua do oeste
1100114,Jaru,RO,jaru
1100122,Ji-Paraná,RO,ji-parana
1100130,Machadinho D'Oeste,RO,machadinho d'oeste
1101203,Ministro Andreazza,RO,ministro andreazza
1101302,Mirante da Serra,RO,mirante da serra
1101401,Monte Negro,RO,monte negro
1100148,Nova Brasilândia D'Oeste,RO,nova brasilandia d'oeste
1100338,Nova Mamoré,RO,nova mamore
1101435,Nova União,RO,nova uniao
1100502,Novo Horizonte do Oeste,RO,novo horizonte do oeste
1100155,Ouro Preto do Oeste,RO,ouro preto do oeste
1101450,Parecis,RO,parecis
1100189,Pimenta Bueno,RO,pimenta bueno
1101468,Pimenteiras do Oeste,RO,pimenteiras do oeste
1100205,Porto Velho,RO,porto velho
1100254,Presidente Médici,RO,presidente medici
1101476,Primavera de Rondônia,RO,primavera de rondonia
1100262,Rio Crespo,RO,rio crespo
1100288,Rolim de Moura,RO,rolim de moura
1100296,Santa Luzia D'Oeste,RO,santa luzia d'oeste
1101484,São Felipe D'Oeste,RO,sao felipe d'oeste
1101492,São Francisco do Guaporé,RO,sao francisco do guapore
1100320,São Miguel do Guaporé,RO,sao miguel do guapore
1101500,Seringueiras,RO,seringueiras
1101559,Teixeirópolis,RO,teixeiropolis
1101609,Theobroma,RO,theobroma
1101708,Urupá,RO,urupa
1101757,Vale do Anari,RO,vale do anari
1101807,Vale do Paraíso,RO,vale do paraiso
1100304,Vilhena,RO,vilhena
1400050,Alto Alegre,RR,alto alegre
1400027,Amajari,RR,amajari
1400100,Boa Vista,RR,boa vista
1400159,Bonfim,RR,bonfim
1400175,Cantá,RR,canta
1400209,Caracaraí,RR,caracarai
1400233,Caroebe,RR,caroebe
1400282,Iracema,RR,iracema
1400308,Mucajaí,RR,mucajai
1400407,Normandia,RR,normandia
1400456,Pacaraima,RR,pacaraima
1400472,Rorainópolis,RR,rorainopolis
1400506,São João da Baliza,RR,sao joao da baliza
1400605,São Luiz do Anauá,RR,sao luiz do anaua
1400704,Uiramutã,RR,uiramuta
4300034,Aceguá,RS,acegua
4300059,Água Santa,RS,agua santa
4300109,Agudo,RS,agudo
4300208,Ajuricaba,RS,ajuricaba
4300307,Alecrim,RS,alecrim
4300406,Alegrete,RS,alegrete
4300455,Alegria,RS,alegria
4300471,Almirante Tamandaré do Sul,RS,almirante tamandare do sul
4300505,Alpestre,RS,alpestre
4300554,Alto Alegre,RS,alto alegre
4300570,Alto Feliz,RS,alto feliz
4300604,Alvorada,RS,alvorada
4300638,Amaral Ferrador,RS,amaral ferrador
4300646,Ametista do Sul,RS,ametista do sul
4300661,André da Rocha,RS,andre da rocha
4300703,Anta Gorda,RS,anta gorda
4300802,Antônio Prado,RS,antonio prado
4300851,Arambaré,RS,arambare
4300877,Araricá,RS,ararica
4300901,Aratiba,RS,aratiba
4301008,Arroio do Meio,RS,arroio do meio
4301073,Arroio do Padre,RS,arroio do padre
4301057,Arroio do Sal,RS,arroio do sal
4301206,Arroio do Tigre,RS,arroio do tigre
4301107,Arroio dos Ratos,RS,arroio dos ratos
4301305,Arroio Grande,RS,arroio grande
4301404,Arvorezinha,RS,arvorezinha
4301503,Augusto Pestana,RS,augusto pestana
4301552,Áurea,RS,aurea
4301602,Bagé,RS,bage
4301636,Balneário Pinhal,RS,balneario pinhal
4301651,Barão,RS,barao
4301701,Barão de Cotegipe,RS,barao de cotegipe
4301750,Barão do Triunfo,RS,barao do triunfo
4301859,Barra do Guarita,RS,barra do guarita
4301875,Barra do Quaraí,RS,barra do quarai
4301909,Barra do Ribeiro,RS,barra do ribeiro
4301925,Barra do Rio Azul,RS,barra do rio azul
4301958,Barra Funda,RS,barra funda
4301800,Barracão,RS,barracao
4302006,Barros Cassal,RS,barros cassal
4302055,Benjamin Constant do Sul,RS,benjamin constant do sul
4302105,Bento Gonçalves,RS,bento goncalves
4302154,Boa Vista das Missões,RS,boa vista das missoes
4302204,Boa Vista do Buricá,RS,boa vista do burica
4302220,Boa Vista do Cadeado,RS,boa vista do cadeado
